repository,pr_number,status,files_changed,additions,deletions,analysis_time_hours,description_length,participants,comments_count,reviews_count
donnemartin/system-design-primer,680,closed,,,,2.1305555555555555,0,1,0,0
donnemartin/system-design-primer,641,closed,,,,2230.883333333333,0,1,0,0
donnemartin/system-design-primer,651,merged,,,,651.8033333333333,0,1,0,0
donnemartin/system-design-primer,217,closed,,,,31228.84,0,1,0,0
donnemartin/system-design-primer,468,closed,,,,13960.365,0,1,0,0
donnemartin/system-design-primer,656,closed,,,,0.25583333333333336,0,1,0,0
donnemartin/system-design-primer,654,closed,,,,0.05555555555555555,0,1,0,0
donnemartin/system-design-primer,652,closed,,,,0.0275,0,1,0,0
donnemartin/system-design-primer,434,merged,,,,0.20305555555555554,0,1,0,0
donnemartin/system-design-primer,611,closed,,,,2088.2680555555557,0,1,0,0
donnemartin/system-design-primer,355,merged,,,,44.89805555555556,0,1,0,0
donnemartin/system-design-primer,594,merged,,,,910.3177777777778,0,1,0,0
donnemartin/system-design-primer,504,closed,,,,6189.495,0,1,0,0
donnemartin/system-design-primer,580,closed,,,,0.04027777777777778,0,1,0,0
donnemartin/system-design-primer,570,closed,,,,9.567777777777778,0,1,0,0
donnemartin/system-design-primer,483,closed,,,,7345.433055555555,0,1,0,0
donnemartin/system-design-primer,556,closed,,,,0.009444444444444445,0,1,0,0
donnemartin/system-design-primer,552,closed,,,,0.0030555555555555557,0,1,0,0
donnemartin/system-design-primer,511,merged,,,,1815.2416666666666,0,1,0,0
donnemartin/system-design-primer,395,closed,,,,9071.47138888889,0,1,0,0
donnemartin/system-design-primer,444,closed,,,,6396.355555555556,0,1,0,0
donnemartin/system-design-primer,509,closed,,,,0.008055555555555555,0,1,0,0
donnemartin/system-design-primer,505,merged,,,,320.4869444444444,0,1,0,0
donnemartin/system-design-primer,500,merged,,,,544.7072222222222,0,1,0,0
donnemartin/system-design-primer,488,closed,,,,1958.0380555555555,0,1,0,0
donnemartin/system-design-primer,486,merged,,,,1167.0816666666667,0,1,0,0
public-apis/public-apis,4394,closed,,,,2463.7502777777777,0,1,0,0
public-apis/public-apis,4817,closed,,,,0.03166666666666667,0,1,0,0
public-apis/public-apis,3442,closed,,,,22974.485555555555,0,1,0,0
public-apis/public-apis,4816,closed,,,,0.03777777777777778,0,1,0,0
public-apis/public-apis,4764,closed,,,,467.4486111111111,0,1,0,0
public-apis/public-apis,4812,closed,,,,0.010833333333333334,0,1,0,0
public-apis/public-apis,4163,closed,,,,5039.6194444444445,0,1,0,0
public-apis/public-apis,3805,merged,,,,1097.9458333333334,0,1,0,0
public-apis/public-apis,4799,closed,,,,0.03888888888888889,0,1,0,0
public-apis/public-apis,4761,closed,,,,329.8597222222222,0,1,0,0
public-apis/public-apis,4479,closed,,,,1208.5877777777778,0,1,0,0
public-apis/public-apis,4778,closed,,,,0.01861111111111111,0,1,0,0
public-apis/public-apis,4777,closed,,,,0.025555555555555557,0,1,0,0
public-apis/public-apis,4198,closed,,,,4349.284722222223,0,1,0,0
public-apis/public-apis,4731,closed,,,,311.25666666666666,0,1,0,0
public-apis/public-apis,4449,closed,,,,1275.2605555555556,0,1,0,0
public-apis/public-apis,4157,closed,,,,4582.793333333333,0,1,0,0
public-apis/public-apis,4741,closed,,,,38.72611111111111,0,1,0,0
public-apis/public-apis,3747,closed,,,,14000.619444444445,0,1,0,0
public-apis/public-apis,4673,closed,,,,17.190555555555555,0,1,0,0
public-apis/public-apis,3349,closed,,,,24128.365833333333,0,1,0,0
public-apis/public-apis,4115,closed,,,,4995.998888888889,0,1,0,0
public-apis/public-apis,4097,closed,,,,5329.874444444445,0,1,0,0
public-apis/public-apis,4503,closed,,,,0.19694444444444445,0,1,0,0
public-apis/public-apis,4477,closed,,,,0.105,0,1,0,0
public-apis/public-apis,4351,closed,,,,1508.2202777777777,0,1,0,0
public-apis/public-apis,4440,closed,,,,257.74555555555554,0,1,0,0
public-apis/public-apis,4332,closed,,,,1513.0541666666666,0,1,0,0
public-apis/public-apis,4453,closed,,,,0.025833333333333333,0,1,0,0
public-apis/public-apis,4452,closed,,,,0.06777777777777778,0,1,0,0
public-apis/public-apis,3865,closed,,,,9922.593611111111,0,1,0,0
public-apis/public-apis,4437,closed,,,,91.85055555555556,0,1,0,0
public-apis/public-apis,3302,closed,,,,24765.06333333333,0,1,0,0
public-apis/public-apis,4438,closed,,,,0.06027777777777778,0,1,0,0
public-apis/public-apis,4354,closed,,,,1060.671388888889,0,1,0,0
public-apis/public-apis,4436,closed,,,,28.70138888888889,0,1,0,0
public-apis/public-apis,3858,closed,,,,10079.851111111111,0,1,0,0
public-apis/public-apis,4385,closed,,,,287.0002777777778,0,1,0,0
public-apis/public-apis,4396,closed,,,,27.325833333333332,0,1,0,0
public-apis/public-apis,3285,closed,,,,24780.64638888889,0,1,0,0
public-apis/public-apis,4152,closed,,,,2804.469722222222,0,1,0,0
public-apis/public-apis,4045,closed,,,,5545.265555555556,0,1,0,0
public-apis/public-apis,3616,closed,,,,15699.917222222222,0,1,0,0
public-apis/public-apis,4336,closed,,,,502.5366666666667,0,1,0,0
public-apis/public-apis,4373,closed,,,,0.07138888888888889,0,1,0,0
public-apis/public-apis,4364,closed,,,,24.304444444444446,0,1,0,0
public-apis/public-apis,4361,closed,,,,0.04083333333333333,0,1,0,0
public-apis/public-apis,4343,closed,,,,0.024444444444444446,0,1,0,0
public-apis/public-apis,4339,closed,,,,0.3536111111111111,0,1,0,0
public-apis/public-apis,4340,closed,,,,0.08388888888888889,0,1,0,0
public-apis/public-apis,3359,closed,,,,21770.569444444445,0,1,0,0
public-apis/public-apis,4322,closed,,,,0.018333333333333333,0,1,0,0
public-apis/public-apis,4321,closed,,,,0.10944444444444444,0,1,0,0
public-apis/public-apis,4286,closed,,,,0.17944444444444443,0,1,0,0
public-apis/public-apis,3653,closed,,,,14231.276666666667,0,1,0,0
public-apis/public-apis,4281,closed,,,,43.7275,0,1,0,0
public-apis/public-apis,4280,closed,,,,0.006388888888888889,0,1,0,0
public-apis/public-apis,4279,closed,,,,0.2325,0,1,0,0
public-apis/public-apis,4135,closed,,,,2273.5305555555556,0,1,0,0
public-apis/public-apis,4267,closed,,,,19.438333333333333,0,1,0,0
public-apis/public-apis,3273,closed,,,,23674.004444444443,0,1,0,0
public-apis/public-apis,4264,closed,,,,0.03222222222222222,0,1,0,0
public-apis/public-apis,4260,closed,,,,0.4025,0,1,0,0
public-apis/public-apis,4259,closed,,,,0.03,0,1,0,0
public-apis/public-apis,4222,closed,,,,724.2386111111111,0,1,0,0
