id,owner,Repo,Estrelas,Idade (anos),Total releases,Dias desde última atualização,Linguagem primária
167,kekingcn,kkFileView,13304,7.75,16,0,Java
168,projectlombok,lombok,13262,16.27,0,0,Java
169,macrozheng,mall-learning,13249,6.42,0,0,Java
170,youth5201314,banner,13039,9.39,0,0,Java
241,awsdocs,aws-doc-sdk-examples,10194,9.07,0,0,Java
242,JakeWharton,ViewPagerIndicator,10108,14.11,0,2,Java
243,signalapp,Signal-Server,10057,11.76,0,0,Java
244,stanfordnlp,CoreNLP,9969,12.21,19,0,Java
245,wasabeef,glide-transformations,9929,10.68,0,0,Java
246,googlesamples,easypermissions,9917,9.73,12,0,Java
247,paascloud,paascloud-master,9894,7.49,0,0,Java
248,uknownothingsnow,JsBridge,9891,10.55,0,0,Java
249,SonarSource,sonarqube,9867,14.69,65,0,Java
250,hackware1993,MagicIndicator,9804,9.21,12,0,Java
251,HarlonWang,AVLoadingIndicatorView,9772,9.89,1,2,Java
252,OpenFeign,feign,9734,12.22,39,0,Java
253,YoKeyword,Fragmentation,9726,9.55,30,0,Java
254,xuchengsheng,spring-reading,9697,1.99,0,0,Java
255,lihengming,spring-boot-api-project-seed,9685,8.22,4,0,Java
256,perwendel,spark,9661,14.36,0,0,Java
257,ksoichiro,Android-ObservableScrollView,9653,10.85,0,0,Java
258,react-native-camera,react-native-camera,9648,10.45,144,7,Java
259,koral--,android-gif-drawable,9631,12.62,61,0,Java
260,bilibili,DanmakuFlameMaster,9603,12.09,5,0,Java
261,spinnaker,spinnaker,9579,11.2,14,0,Java
262,liaohuqiu,android-Ultra-Pull-To-Refresh,9567,10.83,8,0,Java
263,MyCATApache,Mycat-Server,9555,10.78,7,0,Java
264,umano,AndroidSlidingUpPanel,9501,12.29,8,0,Java
265,crossoverJie,cim,9441,7.32,9,0,Java
266,pockethub,PocketHub,9382,14.02,1,0,Java
267,apache,cassandra,9358,16.32,0,0,Java
268,Justson,AgentWeb,9352,8.34,21,1,Java
269,seven332,EhViewer,9320,11.33,97,0,Java
270,huanghaibin-dev,CalendarView,9310,8.51,1,0,Java
271,GcsSloop,AndroidNote,9292,9.69,0,0,Java
272,spring-projects,spring-security,9291,13.68,227,0,Java
273,json-path,JsonPath,9288,14.64,10,0,Java
274,android,testing-samples,9276,10.92,0,6,Java
275,cats-oss,android-gpuimage,9128,12.94,0,0,Java
276,flyway,flyway,9078,12.75,266,1,Java
277,didi,VirtualAPK,9042,8.21,4,2,Java
278,apache,jmeter,8988,15.3,10,0,Java
279,navasmdc,MaterialDesignLibrary,8973,10.95,3,1,Java
280,langchain4j,langchain4j,8955,2.23,51,0,Java
231,android-async-http,android-async-http,10634,14.56,3,0,Java
232,StarRocks,starrocks,10629,4.02,154,0,Java
233,jeasonlzy,okhttp-OkGo,10603,9.66,14,4,Java
234,google,auto,10520,12.31,66,0,Java
235,lipangit,JiaoZiVideoPlayer,10496,9.6,78,0,Java
236,tbruyelle,RxPermissions,10485,9.96,11,0,Java
237,Activiti,Activiti,10423,13.0,1000,0,Java
238,zfile-dev,zfile,10376,6.07,67,0,Java
239,resilience4j,resilience4j,10359,10.28,35,0,Java
240,JessYanCoding,MVPArms,10293,9.1,25,2,Java
281,KunMinX,Jetpack-MVVM-Best-Practice,8952,5.87,0,0,Java
282,Freelander,Android_Data,8845,10.44,0,0,Java
283,nathanmarz,storm,8811,13.99,0,10,Java
284,laobie,StatusBarUtil,8802,9.58,0,0,Java
285,java-native-access,jna,8798,14.38,0,0,Java
286,apache,seatunnel,8774,8.1,51,0,Java
287,Blankj,awesome-java-leetcode,8718,8.41,0,1,Java
288,flowable,flowable-engine,8705,8.92,28,0,Java
289,chrisbanes,Android-PullToRefresh,8690,13.79,0,3,Java
290,checkstyle,checkstyle,8672,12.04,169,0,Java
301,junit-team,junit4,8535,16.67,13,1,Java
302,frohoff,ysoserial,8503,10.62,1,0,Java
303,google,tsunami-security-scanner,8464,5.27,27,0,Java
304,ZCShou,GoGoGo,8415,3.77,8,0,Java
305,roughike,BottomBar,8393,9.49,4,0,Java
306,hs-web,hsweb-framework,8383,9.65,30,1,Java
307,PojavLauncherTeam,PojavLauncher,8380,5.5,126,0,Java
308,LSPosed,LSPatch,8378,4.53,9,0,Java
309,DImuthuUpe,AndroidPdfViewer,8355,9.28,0,0,Java
310,testcontainers,testcontainers-java,8316,10.42,85,0,Java
291,ybq,Android-SpinKit,8665,9.48,0,2,Java
292,karatelabs,karate,8659,8.59,54,0,Java
293,apache,shenyu,8657,7.17,13,0,Java
294,shwenzhang,AndResGuard,8623,9.92,4,0,Java
295,react-native-image-picker,react-native-image-picker,8589,10.27,142,4,Java
296,chrisjenx,Calligraphy,8571,11.73,4,1,Java
297,amitshekhariitbhu,Android-Debug-Database,8561,8.82,14,0,Java
298,airbnb,epoxy,8560,9.1,76,0,Java
299,facebook,buck,8555,12.41,57,0,Java
300,dropwizard,dropwizard,8553,14.65,188,1,Java
311,wildfirechat,im-server,8297,6.64,108,0,Java
312,apache,beam,8291,9.61,52,0,Java
313,apache,shardingsphere-elasticjob,8208,10.01,30,0,Java
314,pentaho,pentaho-kettle,8164,11.93,1,0,Java
315,alibaba,atlas,8152,8.54,7,0,Java
316,cabaletta,baritone,8132,7.12,85,0,Java
317,alibaba,transmittable-thread-local,8127,11.92,58,1,Java
318,alibaba,otter,8123,12.1,10,6,Java
319,florent37,MaterialViewPager,8115,10.39,11,4,Java
320,bytedeco,javacv,8111,11.4,13,0,Java
341,lecho,hellocharts-android,7638,10.92,14,0,Java
342,gedoor,MyBookshelf,7623,7.25,165,2,Java
343,google,android-classyshark,7587,9.92,17,0,Java
344,PowerJob,PowerJob,7583,5.49,51,0,Java
345,google,closure-compiler,7568,11.41,0,0,Java
346,koush,AndroidAsync,7549,13.05,0,0,Java
347,kaushikgopal,RxJava-Android-Samples,7529,11.14,0,0,Java
348,kevin-wayne,algs4,7503,10.04,0,1,Java
349,mapstruct,mapstruct,7497,13.3,35,0,Java
350,jeecgboot,jimureport,7494,5.77,29,0,Java
331,dropwizard,metrics,7851,15.55,138,1,Java
332,HannahMitt,HomeMirror,7846,10.06,0,2,Java
333,software-mansion,react-native-svg,7820,9.65,124,0,Java
334,ChrisRM,material-theme-jetbrains,7797,9.97,17,0,Java
335,Graylog2,graylog2-server,7790,15.33,0,0,Java
336,trello-archive,RxLifecycle,7694,10.15,22,0,Java
337,goldze,MVVMHabit,7686,8.15,3,0,Java
338,vipshop,vjtools,7673,7.29,9,0,Java
339,krahets,LeetCode-Book,7655,3.73,0,0,Java
340,Tencent,Shadow,7638,6.25,5,0,Java
321,guolindev,LitePal,8104,12.56,0,2,Java
322,HMCL-dev,HMCL,8104,10.23,258,0,Java
323,aeron-io,aeron,8087,11.6,126,0,Java
324,aritraroy,UltimateAndroidReference,8084,8.42,0,0,Java
325,davemorrissey,subsampling-scale-image-view,7986,12.05,21,0,Java
326,Netflix,SimianArmy,7985,13.19,4,0,Java
327,junixapp,XPopup,7965,6.76,221,1,Java
328,apache,tomcat,7945,13.95,0,0,Java
329,apache,iceberg,7941,6.81,30,0,Java
330,JakeWharton,hugo,7932,11.8,0,7,Java
361,MinecraftForge,MinecraftForge,7299,13.62,0,0,Java
362,gocd,gocd,7289,11.75,86,0,Java
363,Bearded-Hen,Android-Bootstrap,7273,11.87,5,2,Java
364,pedant,sweet-alert-dialog,7255,10.9,2,0,Java
365,crazycodeboy,TakePhoto,7243,10.11,15,11,Java
366,Exrick,xmall,7231,8.13,0,0,Java
367,AntennaPod,AntennaPod,7231,13.12,62,0,Java
368,geeeeeeeeek,WeChatLuckyMoney,7224,9.95,20,6,Java
369,cymcsg,UltimateRecyclerView,7206,10.62,9,0,Java
370,dependency-check,DependencyCheck,7176,13.03,85,0,Java
351,yuanguangxin,LeetCode,7469,5.67,0,0,Java
352,swagger-api,swagger-core,7452,14.19,120,0,Java
353,enso-org,enso,7436,8.74,475,0,Java
354,lenve,VBlog,7420,7.71,0,0,Java
355,dyc87112,SpringCloud-Learning,7404,9.06,0,0,Java
356,gunnarmorling,1brc,7394,1.7,0,0,Java
357,abel533,Mapper,7372,10.81,8,0,Java
358,leolin310148,ShortcutBadger,7356,11.83,0,13,Java
359,Qihoo360,RePlugin,7341,8.26,19,0,Java
360,square,dagger,7302,13.12,0,14,Java
371,google,agera,7169,9.74,16,14,Java
372,NanoHttpd,nanohttpd,7162,13.09,3,0,Java
373,didi,KnowStreaming,7144,5.48,23,0,Java
374,ogaclejapan,SmartTabLayout,7101,10.58,0,1,Java
375,Genymobile,gnirehtet,7079,8.59,12,0,Java
376,JakeWharton,ActionBarSherlock,7077,14.52,32,4,Java
377,Alluxio,alluxio,7067,12.73,61,0,Java
378,naman14,Timber,7057,10.25,5,3,Java
379,google,error-prone,7039,11.06,57,0,Java
380,AutoMQ,automq,7039,2.07,70,0,Java
381,NLPchina,elasticsearch-sql,7034,11.05,272,1,Java
382,h2pl,JavaTutorial,7026,7.37,1,0,Java
383,rest-assured,rest-assured,7023,14.9,0,0,Java
384,mrniko,netty-socketio,6994,13.67,19,1,Java
385,wiremock,wiremock,6976,13.93,51,0,Java
386,DroidPluginTeam,DroidPlugin,6964,10.05,2,1,Java
387,alibaba,jvm-sandbox,6920,8.11,13,10,Java
388,exadel-inc,CompreFace,6867,5.18,11,0,Java
